order_id,region,product,quantity,unit_price,order_date
1083,Central,Desk Lamp,5,196.00,2024-04-19
1084,South,Keyboard,3,203.00,2024-04-19
1085,East,Keyboard,1,220.00,2024-04-21
1086,South,Webcam,4,17.00,2024-04-23
1087,West,Docking Station,2,44.00,2024-04-23
1088,Central,Docking Station,5,31.00,2024-04-25
1089,West,Cable Kit,3,58.00,2024-04-27
1090,East,USB-C Hub,1,55.00,2024-04-27
1091,South,USB-C Hub,4,52.00,2024-04-29
1092,East,Wireless Mouse,2,69.00,2024-05-01
1093,Central,Monitor Stand,5,66.00,2024-05-01
1094,West,Monitor Stand,3,93.00,2024-05-03
1095,Central,Keyboard,1,80.00,2024-05-05
1096,South,Headphones,4,87.00,2024-05-05
1097,East,Headphones,2,104.00,2024-05-07
1098,South,Docking Station,5,101.00,2024-05-09
1099,West,Laptop Sleeve,3,128.00,2024-05-09
1100,Central,Laptop Sleeve,1,115.00,2024-05-11
1101,West,USB-C Hub,4,142.00,2024-05-13
1102,East,Desk Lamp,2,139.00,2024-05-13
1103,South,Desk Lamp,5,136.00,2024-05-15
1104,East,Monitor Stand,3,153.00,2024-05-17
1105,Central,Webcam,1,150.00,2024-05-17
1106,West,Webcam,4,177.00,2024-05-19
1107,Central,Headphones,2,164.00,2024-05-21
1108,South,Cable Kit,5,171.00,2024-05-21
1109,East,Cable Kit,3,188.00,2024-05-23
1110,South,Laptop Sleeve,1,185.00,2024-05-25
1111,West,Wireless Mouse,4,212.00,2024-05-25
1112,Central,Wireless Mouse,2,199.00,2024-05-27
1113,West,Desk Lamp,5,226.00,2024-05-29
1114,East,Keyboard,3,223.00,2024-05-29
1115,South,Keyboard,1,20.00,2024-05-31
1116,East,Webcam,4,37.00,2024-06-02
1117,Central,Docking Station,2,34.00,2024-06-02
1118,West,Docking Station,5,61.00,2024-06-04
1119,Central,Cable Kit,3,48.00,2024-06-06
1120,South,USB-C Hub,1,55.00,2024-06-06
1121,East,USB-C Hub,4,72.00,2024-06-08
1122,South,Wireless Mouse,2,69.00,2024-06-10
1123,West,Monitor Stand,5,96.00,2024-06-10
1124,Central,Monitor Stand,3,83.00,2024-06-12
1125,West,Keyboard,1,110.00,2024-06-14
1126,East,Headphones,4,107.00,2024-06-14
1127,South,Headphones,2,104.00,2024-06-16
1128,East,Docking Station,5,121.00,2024-06-18
1129,Central,Laptop Sleeve,3,118.00,2024-06-18
1130,West,Laptop Sleeve,1,145.00,2024-06-20
1131,Central,USB-C Hub,4,132.00,2024-06-22
1132,South,Desk Lamp,2,139.00,2024-06-22
1133,East,Desk Lamp,5,156.00,2024-06-24
1134,South,Monitor Stand,3,153.00,2024-06-26
1135,West,Webcam,1,180.00,2024-06-26
